outer_fold,alpha_min,alpha_1se,minimum_inner_mse,one_se_threshold,in_fold_r2,in_fold_mae,n_nonzero
1,0.003511191734215131,0.010722672220103232,0.06562517792536106,0.08143732384555408,0.8563129505340136,0.17020072776776976,14
2,0.000756463327554629,0.003511191734215131,0.061548114179037786,0.07248648352307666,0.9127072404107845,0.12951870169025506,20
3,0.0008697490026177834,0.002848035868435802,0.045422310249487244,0.049064486050840635,0.9209795463272217,0.12754983827228988,21
4,0.0024770763559917113,0.006135907273413176,0.05793844037867466,0.0660008021611174,0.8880211882702415,0.14024030221711953,17
5,0.0010722672220103231,0.0032745491628777285,0.05325158829672429,0.05661422661453444,0.9117117239033867,0.13348109137524827,20
