in_fold_r2_mean,in_fold_mae_mean,r2,mae,alpha_1se_min,alpha_1se_median,alpha_1se_max,n_nonzero_median,iteration
0.030393057318165707,0.4478958020854068,-0.010402575787794799,0.4555268926240846,0.1,0.1,0.1,2.0,1
0.02105929163509541,0.4499317915840141,-0.007549604481008831,0.4538266748490039,0.1,0.1,0.1,1.0,2
0.0036826667596987052,0.4565588104789322,5.436887238818855e-05,0.4574028201712981,0.1,0.1,0.1,1.0,3
0.04064050988286021,0.4471856325990461,0.0025741201581830353,0.4553563657758403,0.1,0.1,0.1,1.0,4
0.04485653001592316,0.44784530685744184,-0.012395701625171007,0.46070830095811766,0.1,0.1,0.1,3.0,5
