metric,observed,permuted_mean,permuted_std,empirical_p_value
Mean in-fold R2,0.8979465298891295,0.02812641112234864,0.016500591256616255,0.16666666666666666
Mean in-fold MAE,0.14019813226453648,0.4498834687209682,0.003871232518898727,0.16666666666666666
OOF R2,0.8539082989907933,-0.005543878572680683,0.006553999390461127,0.16666666666666666
OOF MAE,0.16523478771853553,0.45656421087566895,0.0026412956384937493,0.16666666666666666
median 1-SE alpha,0.003511191734215131,0.1,0.0,
median nonzero coefficients,20.0,1.6,0.8944271909999159,
