cat_substrate,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x24subx11_squared
KA17_vsa1,78.795441,70.19610399,74.19058253,0.33155,-0.400117156,-0.801770407,90.73939387,54.06454857,58.4801475,54.06454857,78.66031398,46.22967227,67.50356899,71.9067,85.13365186,-0.166369,30.64433477,71.9067,1671.7671,-157.1377,-0.356326,65.846618,65.846618,67.31134535,62.85582836,-0.19602,0.02123,-0.17168,-0.13965,75.07976299,128.799089
KA17_vsa2,78.795441,70.19610399,74.19058253,0.33155,-0.400117156,-0.801770407,90.73939387,54.06454857,58.4801475,54.06454857,78.66031398,46.22967227,67.50356899,71.8905,85.07554236,-0.166564,30.66187601,71.8905,1669.8211,-156.8542,-0.356506,65.80750894,65.80750894,67.26478695,63.06897596,-0.19601,0.02153,-0.17133,-0.13546,75.0097669,129.8580364
KA17_vsa3,78.795441,70.19610399,74.19058253,0.33155,-0.400117156,-0.801770407,90.73939387,54.06454857,58.4801475,54.06454857,78.66031398,46.22967227,67.50356899,72.9647,86.7401592,-0.175566,25.70756204,73.0498,1596.2795,-157.5159,-0.378076,66.56815069,66.56454857,63.4823823,52.85303299,-0.165931053,0.031190264,-0.312870523,-0.191115528,77.1308113,230.3696102
KA17_vsa4,78.795441,70.19610399,74.19058253,0.33155,-0.400117156,-0.801770407,90.73939387,54.06454857,58.4801475,54.06454857,78.66031398,46.22967227,67.50356899,60.5788,87.541228,-0.165921,31.02984769,60.5788,1553.5242,-154.1082,-0.370498,67.80155824,65.73022199,62.68995828,52.88564573,-0.155545124,0.007663865,-0.181020854,-0.128674944,78.41027478,255.0522612
KA17_vsa5,78.795441,70.19610399,74.19058253,0.33155,-0.400117156,-0.801770407,90.73939387,54.06454857,58.4801475,54.06454857,78.66031398,46.22967227,67.50356899,64.1037,85.90844525,-0.172629,28.52637886,64.1037,1559.3763,-171.2127,-0.374475,65.16314064,65.16314064,62.23647944,52.73015281,-0.16637,0.01974,-0.28904,-0.1398,76.05808048,269.7423411
